ID;NAMA;DUSUN;DESA;KECAMATAN;JENIS;STATUS;POTENSI;X;Y;SURVEYOR;REFERENSI
589;Weru;;;Jepitu;Horisontal;Sudah di xplor;;468141;9096182;Pangea Cruiser Fak. Geologi UPN;
590;Mbolot;;;Jepitu;Horisontal;Belum di xplor;;468476;9095950;Pangea Cruiser Fak. Geologi UPN;
591;Banyu Sumurup;;;Jepitu;Horisontal;Sudah di xplor;;468896;9094316;Pangea Cruiser Fak. Geologi UPN;
592;Ngeweng;;;Jepitu;Horisontal;Sudah di xplor;;468938;9094172;Pangea Cruiser Fak. Geologi UPN;
593;Sumbon;;;Jepitu;Horisontal;Belum di xplor;;468698;9095140;Pangea Cruiser Fak. Geologi UPN;
594;Sumur;;;Jepitu;Sumuran;Belum di xplor;;468089;9096156;Pangea Cruiser Fak. Geologi UPN;
595;Mbolot;;;Jepitu;Sumuran;Sudah di xplor;;468448;9095994;Pangea Cruiser Fak. Geologi UPN;
596;Gejelok;;;Jepitu;Vertikal;Tidak bisa di xplor;;468020;9098212;Pangea Cruiser Fak. Geologi UPN;
597;Panguripan;;;Jepitu;Vertikal;Tidak bisa di xplor;;468969;9094947;Pangea Cruiser Fak. Geologi UPN;
598;Kedok;;;Jepitu;Vertikal;Belum di xplor;;469992;9097140;Pangea Cruiser Fak. Geologi UPN;
599;Gandok;;;Jepitu;Vertikal;Belum di xplor;;470762;9096505;Pangea Cruiser Fak. Geologi UPN;
600;Pinutuh;;;Jepitu;Vertikal;Belum di xplor;;470126;9095983;Pangea Cruiser Fak. Geologi UPN;
601;Setro;;;Jepitu;Vertikal;Belum di xplor;;470525;9095936;Pangea Cruiser Fak. Geologi UPN;
602;Setro 2;;;Jepitu;Vertikal;Belum di xplor;;470712;9095833;Pangea Cruiser Fak. Geologi UPN;
603;No Name;;;Jepitu;Vertikal;Belum di xplor;;470401;9095864;Pangea Cruiser Fak. Geologi UPN;
604;bulusepet;;;Jepitu;Vertikal;Belum di xplor;;470540;9095450;Pangea Cruiser Fak. Geologi UPN;
605;Duren;;;Jepitu;Horisontal;Belum di xplor;;468441;9097121;Pangea Cruiser Fak. Geologi UPN;
606;Pulejajar;;;Jepitu;Vertikal;Belum di xplor;;468805;9095615;Pangea Cruiser Fak. Geologi UPN;
607;Candi 1;;;Karangmojo;;;;462154;9122901;KKN Fak. Geografi UGM 2009;
608;Candi 2;;;Karangmojo;;;;461998;9122828;KKN Fak. Geografi UGM 2009;
609;Candi 5;;;Karangmojo;;;;462278;9122949;KKN Fak. Geografi UGM 2009;
610;Candi 3;;;Karangmojo;;;;461955;9122764;KKN Fak. Geografi UGM 2009;
611;Candi 4;;;Karangmojo;;;;461917;9122775;KKN Fak. Geografi UGM 2009;
612;??;Gelaran 1 (Belakang SD);;Karangmojo;;;;460588;9123885;KKN Fak. Geografi UGM 2009;
613;Ngluweng;Gelaran 1;;Karangmojo;;;;460609;9124056;KKN Fak. Geografi UGM 2009;
614;Suruh;Gelaran 2;;Karangmojo;;;;461621;9122745;KKN Fak. Geografi UGM 2009;
615;???;Gelaran 1;;Karangmojo;;;;460605;9123811;KKN Fak. Geografi UGM 2009;
616;Plumpit;Kulwo;;Karangmojo;;;;461213;9122505;KKN Fak. Geografi UGM 2009;
617;Glatik;Gelaran 1;;Karangmojo;;;;461202;9123768;KKN Fak. Geografi UGM 2009;
618;Greeng;Grogol 2;;Karangmojo;;;;458323;9123738;KKN Fak. Geografi UGM 2009;
619;Seropan;Grogol 2;;Karangmojo;;;;458218;9123959;KKN Fak. Geografi UGM 2009;
620;Ngledok;Gelaran 2;;Karangmojo;;;;461038;9123312;KKN Fak. Geografi UGM 2009;
621;Pindul;Gelaran 2;;Karangmojo;;;;461204;9123450;KKN Fak. Geografi UGM 2009;
622;Gelbang;Gunungbang;;Karangmojo;;;;461458;9123578;KKN Fak. Geografi UGM 2009;
623;??;Gelaran 1;;Karangmojo;;;;460622;9124037;KKN Fak. Geografi UGM 2009;
624;??;Gelaran 1;;Karangmojo;;;;460588;9124152;KKN Fak. Geografi UGM 2009;
625;Suwiryo;Gelaran 1;;Karangmojo;;;;460600;9124262;KKN Fak. Geografi UGM 2009;
626;Ngancar;Gelaran 2;;Karangmojo;;;;461407;9123125;KKN Fak. Geografi UGM 2009;
627;Siyoyot;Gelaran 2;;Karangmojo;;;;461578;9122977;KKN Fak. Geografi UGM 2009;
628;Sumurup;Banyubening 2;;Karangmojo;;;;461133;9123019;KKN Fak. Geografi UGM 2009;
629;Njebul;Banyubening 2;;Karangmojo;;;;461012;9122748;KKN Fak. Geografi UGM 2009;
630;Gedang / Ngancar;Gelaran 2;;Karangmojo;;;;461385;9123109;KKN Fak. Geografi UGM 2009;
631;Kedung Buntung;Gelaran 2;;Karangmojo;;;;461305;9123117;KKN Fak. Geografi UGM 2009;
632;Banyumoto;Gelaran 1;;Karangmojo;;;;461162;9123707;KKN Fak. Geografi UGM 2009;
633;Gedong;Gelaran 2;;Karangmojo;;;;461207;9123822;KKN Fak. Geografi UGM 2009;
634;Pindul;Gelaran 1;;Karangmojo;;;;461333;9123536;KKN Fak. Geografi UGM 2009;
635;Sruwoh;Banyubening 2;;Karangmojo;;;;461064;9122923;KKN Fak. Geografi UGM 2009;
636;Sumberan;Grogol 5;;Karangmojo;;;;459547;9123597;KKN Fak. Geografi UGM 2009;
637;Kedung Pit;Karanglor;;Karangmojo;;;;459991;9123711;KKN Fak. Geografi UGM 2009;
638;Grogol;Grogol 3;;Karangmojo;;;;459241;9123594;KKN Fak. Geografi UGM 2009;
639;Mudal;Ngringin;;Karangmojo;;;;461116;9122285;KKN Fak. Geografi UGM 2009;
640;Beji;Kulwo;;Karangmojo;;;;460976;9122378;KKN Fak. Geografi UGM 2009;
641;Gunung Abang;Gunung Abang;;Karangmojo;;;;461836;9123828;KKN Fak. Geografi UGM 2009;
642;Nyamplung;Banyubening 2;;Karangmojo;;;;460431;9123392;KKN Fak. Geografi UGM 2009;
643;Bulu;Bulu;;Karangmojo;;;;459460;9124265;KKN Fak. Geografi UGM 2009;
644;Mplek;Grogol 2;;Karangmojo;;;;458442;9124326;KKN Fak. Geografi UGM 2009;
645;Semilih;Karangmojo;;Karangmojo;;;;460654;9123525;KKN Fak. Geografi UGM 2009;
646;Sumur Cilik;Sokoliman;;Karangmojo;;;;462359;9125118;KKN Fak. Geografi UGM 2009;
647;Sumur Gede;Sokoliman;;Karangmojo;;;;462199;9124960;KKN Fak. Geografi UGM 2009;
648;Njambe;Mbulu;;Karangmojo;;;;460110;9124440;KKN Fak. Geografi UGM 2009;
649;L. Gunung Cilik;Pijiman;Tambakromo;Ponjong;;;;473320;9121393;Kelompok Studi Karst F.Geografi UGM 2010;
650;L. Pringapus;Guluwatu;Tambakromo;Ponjong;;;;474233;9121246;Kelompok Studi Karst F.Geografi UGM 2010;
651;L. Waru;Guluwatu;Tambakromo;Ponjong;;;;473976;9121080;Kelompok Studi Karst F.Geografi UGM 2010;
